Name,SMILES,dD,dP,dH
BDOPV-2T,*c9ccc8c(=c6c(=O)oc7cc5c(=c3c(=O)n(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c4cc(c2ccc(c1ccc(*)s1)s2)ccc34)c(=O)oc5cc67)c(=O)n(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c8c9,,,
PFT3,*c4ccc3c2ccc(c1ccc(*)s1)cc2C(CCC[N+](C)(C)CC)(CCC[N+](C)(CC)CC)c3c4.[Br-].[Br-],,,
F4BDOPV-2T,*c9ccc(c8ccc(c7c(F)cc6c(=c4c(=O)oc5cc3c(=c1c(=O)n(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c2c(F)c(*)c(F)cc12)c(=O)oc3cc45)c(=O)n(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c6c7F)s8)s9,,,
D18-Cl,*c%11cc%10c(c1cc(Cl)c(CC(CC)CCCC)s1)c8sc(c7cc(CC(CCCC)CCCCCC)c(c6cc5c2nsnc2c4cc(c3cc(*)c(CC(CCCC)CCCCCC)s3)sc4c5s6)s7)cc8c(c9cc(Cl)c(CC(CC)CCCC)s9)c%10s%11,,,
LP,CCCCCCCCCCCCC(CCCCCCCCCCCC)n5c1cc(*)c(C(C)=*)cc1c4cc3c(C)cc2cc(*)c(C=*)cc2c3cc45,,,
FPQ-Br,*c4ccc(c3ccc2c1ccc(*)cc1C(CCCCCC[N+](C)(C)C)(CCCCCC[N+](C)(C)C)c2c3)cc4.[Br-].[Br-],,,
FBDOPV-2T,*c9ccc(c8ccc(c7ccc6c(=c4c(=O)oc5cc3c(=c1c(=O)n(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c2c(F)c(*)ccc12)c(=O)oc3cc45)c(=O)n(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c6c7F)s8)s9,,,
PLPP,CCCCCCCCCCc%13ccc(C6(c1ccc(CCCCCCCCCC)cc1)c4cc3c2ccc(*)cc2C(CCCCCCCCCC)(CCCCCCCCCC)c3cc4c5cc8c(cc56)c7cc%12c(cc7C8(c9ccc(CCCCCCCCCC)cc9)c%10ccc(CCCCCCCCCC)cc%10)c%11ccc(*)cc%11C%12(CCCCCCCCCC)CCCCCCCCCC)cc%13,,,
NN1,*=c7c(=O)n(CCCCCCCCCCCC)c8c6C=CC5C(=c1c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c2c1ccc4c2ccc3c(=*)c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c34)C(=O)N(CCCCCCCCCCCC)C5c6ccc78,,,
PIDTFBT-C11-BO,*c1cc3c(s1)c2cc%14c(cc2[C@]3(CCCCCCCCCCCC(CCCC)CCCCCC)CCCCCCCCCCCC(CCCC)CCCCCC)c%13sc(c%11cc(F)c(c4cc6c(s4)c5cc%10c(cc5[C@@]6(CCCCCCCCCCCC(CCCC)CCCCCC)CCCCCCCCCCCC(CCCC)CCCCCC)c9sc(c7c(F)cc(*)c8nsnc78)cc9[C@]%10(CCCCCCCCCCCC(CCCC)CCCCCC)CCCCCCCCCCCC(CCCC)CCCCCC)c%12nsnc%11%12)cc%13[C@@]%14(CCCCCCCCCCCC(CCCC)CCCCCC)CCCCCCCCCCCC(CCCC)CCCCCC,,,
NN2,*=c7c(=O)n(CCCCCCCCCCCC)c8c6C=CC5C(=c1c(=O)n(CCCCC(CCCCCC)CCCCCCCC)c2c1ccc4c2ccc3c(=*)c(=O)n(CCCCC(CCCCCC)CCCCCCCC)c34)C(=O)N(CCCCCCCCCCCC)C5c6ccc78,,,
PCPDTFBT-C1-BO,CCCCCCC(CCCC)C[C@@]%10(CC(CCCC)CCCCCC)c1cc(*)sc1c9sc(c7cc(F)c(c2cc6c(s2)c5sc(c3c(F)cc(*)c4nsnc34)cc5[C@@]6(CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)c8nsnc78)cc9%10,,,
PCPDTFBT-C3-BO,CCCCCCC(CCCC)CCC[C@]%10(CCCC(CCCC)CCCCCC)c1cc(*)sc1c9sc(c7cc(F)c(c2cc6c(s2)c5sc(c3c(F)cc(*)c4nsnc34)cc5[C@]6(CCCC(CCCC)CCCCCC)CCCC(CCCC)CCCCCC)c8nsnc78)cc9%10,,,
PCPDTFBT-C11-BO,CCCCCCC(CCCC)CCCCCCCCCCC[C@]%10(CCCCCCCCCCCC(CCCC)CCCCCC)c1cc(*)sc1c9sc(c7cc(F)c(c2cc6c(s2)c5sc(c3c(F)cc(*)c4nsnc34)cc5[C@]6(CCCCCCCCCCCC(CCCC)CCCCCC)CCCCCCCCCCCC(CCCC)CCCCCC)c8nsnc78)cc9%10,,,
AN1,*=c1c(=O)n(CCCCCCCCCCCC)c9c1ccc8cc6c(C=CC7C(=c2c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c3c2ccc5c3ccc4c(=*)c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c45)C(=O)N(CCCCCCCCCCCC)C67)cc89,,,
PIDTCPDT-C11-BO,*c1cc3c(s1)c2cc8c(cc2[C@@]3(CCCCCCCCCCCC(CCCC)CCCCCC)CCCCCCCCCCCC(CCCC)CCCCCC)c7sc(c4cc6c(s4)c5sc(*)cc5[C@@]6(CCCCCCCCCCCC(CCCC)CCCCCC)CCCCCCCCCCCC(CCCC)CCCCCC)cc7[C@]8(CCCCCCCCCCCC(CCCC)CCCCCC)CCCCCCCCCCCC(CCCC)CCCCCC,,,
AN2,*=c1c(=O)n(CCCCC(CCCCCC)CCCCCCCC)c2c1ccc9c2ccc8c(=C6C(=O)N(CCCCCCCCCCCC)C7C=Cc5cc3c(ccc4c3c(=*)c(=O)n4CCCCCCCCCCCC)cc5C67)c(=O)n(CCCCC(CCCCCC)CCCCCCCC)c89,,,
